Name,Link,Email,School,major
Accounting Professionals of Tomorrow ,https://utsa.campuslabs.com/engage/organization/underconstruction,brandon.howard@utsa.edu,Business,
American Marketing Association,https://utsa.campuslabs.com/engage/organization/ama,utsa.ama@gmail.com,Business,
American Statistical Association Student Chapter,https://utsa.campuslabs.com/engage/organization/asasc,sasc.rr@gmail.com,Business,
Business Student Council,https://utsa.campuslabs.com/engage/organization/utsa_bsc,bscatutsa@gmail.com,Business,
Global Business Ambassadors,https://utsa.campuslabs.com/engage/organization/globalbusinessambassadors,utsagba@gmail.com,Business,
Global Business Brigades at UTSA,https://utsa.campuslabs.com/engage/organization/globalbusinessbrigades,Utsabusinessbrigades@gmail.com,Business,
The Investment Society,https://utsa.campuslabs.com/engage/organization/investmentsociety,utsainvestors@gmail.com,Business,
The Professional Businesswomen Society,https://utsa.campuslabs.com/engage/organization/pbws,probwsociety@gmail.com,Business,
Advanced Robotics,https://utsa.campuslabs.com/engage/organization/ar,utsaar@gmail.com,Engineering,
Aeronautics and Rocket Club,https://utsa.campuslabs.com/engage/organization/arcutsa,arcutsa@gmail.com,Engineering,
American Society of Civil Engineers,https://utsa.campuslabs.com/engage/organization/asce,asceutsa@gmail.com,Engineering,
